name,smiles,ESOL_predicted,measured
Trichloroethylene,ClC=C(Cl)Cl,-2.312,-1.96
Methanol,CO,0.441,1.57
2-Butanone,CCC(C)=O,-0.491,0.52
1-Hexanol,CCCCCCO,-1.3969999999999998,-1.24
1-Chloropentane,CCCCCCl,-2.294,-2.73
"1,3-Butadiene",C=CC=C,-1.376,-1.87
Propyl acetate,CCCOC(C)=O,-1.125,-0.72
chloroacetamide,NC(=O)CCl,-0.106,-0.02
Caproaldehyde,CCCCCC=O,-1.457,-1.3
Nerol,CC(C)=CCCC(C)=CCO,-2.603,-2.46
Nitroethane,CC[N+](=O)[O-],-0.462,-0.22
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,-1.376,-1.807
Iodomethane,CI,-1.646,-1.0
5-Nonanone,CCCCC(=O)CCCC,-2.329,-2.58
3-Methylpentane,CCC(C)CC,-2.6,-3.68
Chloroacetonitrile,N#CCCl,-0.4479999999999999,-0.092
Ethyl nonanoate,CCCCCCCCC(=O)OCC,-3.3160000000000003,-3.8
2-Chlorobutane,CCC(C)Cl,-1.94,-1.96
1-Hexyne ,C#CCCCC,-1.801,-2.36
1-Nonyne ,C#CCCCCCCC,-2.864,-4.24
Diisopropyl ether ,CC(C)OC(C)C,-1.281,-1.1
Methyl hydrazine,CNN,0.5429999999999999,1.34
Propyne,C#CC,-0.672,-0.41
Propetamphos,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-2.826,-3.408
Acrolein,C=CC=O,-0.184,0.57
1-Chloropropane,CCCCl,-1.585,-1.47
Ethyl acetate,CCOC(C)=O,-0.77,-0.04
"2,2-Dimethylpentane",CCCC(C)(C)C,-2.938,-4.36
dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-4.726,-3.896
"2-Methyl-1,3-Butadiene ",C=CC(=C)C,-1.714,-2.03
linalool,C=CC(C)(O)CCC=C(C)C,-2.399,-1.99
mannitol,OCC(O)C(O)C(O)C(O)CO,0.647,0.06
4-Heptanone,CCCC(=O)CCC,-1.62,-1.3
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,-1.25,-0.72
Trichloroacetonitrile,N#CC(Cl)(Cl)Cl,-2.019,-2.168
2-Decanone,CCCCCCCCC(C)=O,-2.617,-3.3
Dimethyl sulfide,CSC,-0.758,-0.45
O-Ethyl carbamate,CCOC(N)=O,-0.218,0.85
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,-1.6469999999999998,-1.22
1-Bromobutane,CCCCBr,-2.303,-2.37
4-Methyl-2-pentanone,CC(=O)CC(C)C,-1.1840000000000002,-0.74
Ethanethiol,CCS,-0.968,-0.6
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-1.961,-1.48
1-Chloroheptane,CCCCCCCCl,-3.003,-4.0
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-2.549,-1.74
Dimecron,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,-2.426,0.523
1-Chlorohexane,CCCCCCCl,-2.648,-3.12
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,-9.702,-8.334
"1,1-Dichloroethane",CC(Cl)Cl,-1.5759999999999998,-1.29
Tetrachloromethane,ClC(Cl)(Cl)Cl,-2.607,-2.31
Methyl t-butyl ether ,COC(C)(C)C,-0.984,-0.24
1-Hexadecanol,CCCCCCCCCCCCCCCCO,-4.94,-7.0
"2,2-Dimethyl-1-butanol",CCC(C)(C)CO,-1.365,-1.04
Ethyl pentanoate,CCCOC(=O)CCC,-1.899,-1.75
Propyl formate,CCCOC=O,-0.757,-0.49
"2,4-Dimethylpentane",CC(C)CC(C)C,-2.938,-4.26
Ethyl decanoate,CCCCCCCCCC(=O)OCC,-3.671,-4.1
Ethyl propyl ether,CCCOCC,-1.072,-0.66
2-Propanol,CC(C)O,-0.261,0.43
Chlorodibromethane,ClC(Br)Br,-2.54,-1.9
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.391,-3.37
t-Crotonaldehyde,CC=CC=O,-0.604,0.32
Methyl hexanoate,CCCCCC(=O)OC,-1.899,-1.87
Methyl propionate,CCC(=O)OC,-0.836,-0.14
Propyl butyrate,CCCC(=O)OC,-1.1909999999999998,-1.92
Ethyl hexanoate,CCCCCC(=O)OCC,-2.254,-2.35
1-Octene ,C=CCCCCCC,-3.073,-4.44
3-Hexanol,CCCC(O)CC,-1.324,-0.8
2-Nonanol,CCCCCCCC(C)O,-2.387,-2.74
3-Hexanone,CCCC(=O)CC,-1.266,-0.83
Bromochloromethane,ClCBr,-1.519,-0.89
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,-3.862,-4.86
1-Octanol,CCCCCCCCO,-2.105,-2.39
Diethyl sulfide,CCSCC,-1.598,-1.34
"1,2-Dichloroethane",ClCCCl,-1.374,-1.06
2-Chloro-2-methylbutane,CCC(C)(C)Cl,-2.278,-2.51
1-Chloro-2-bromoethane,ClCCBr,-1.7380000000000002,-1.32
1-Nonene ,C=CCCCCCCC,-3.427,-5.05
3-Methyl-3-pentanol,CCC(C)(O)CC,-1.308,-0.36
2-Hexanol,CCCCC(C)O,-1.324,-0.89
1-Pentanol,CCCCCO,-1.042,-0.6
3-chloropropionitrile,N#CCCCl,-0.522,-0.29
3-Methyl-2-butanol,CC(C)C(C)O,-0.954,-0.18
Methyl decanoate,CCCCCCCCCC(=O)OC,-3.3160000000000003,-4.69
1-Bromo-2-methylpropane,CC(C)CBr,-2.2880000000000003,-2.43
Iodoethane,CCI,-2.066,-1.6
1-Bromohexane,CCCCCCBr,-3.012,-3.81
2-Methylpentane,CCCC(C)C,-2.6,-3.74
Tribromomethane,BrC(Br)Br,-2.904,-1.91
Trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-1.866,-0.22
2-Bromopropane,CC(C)Br,-1.949,-1.59
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,-3.276,-4.74
Propane,CCC,-1.5530000000000002,-1.94
Ethyl vinyl ether,C=COCC,-0.857,-0.85
1-Butyne,C#CCC,-1.092,-1.24
3-Methyl-3-heptanol,CCCCC(C)(O)CC,-2.017,-1.6
Acetonitrile,CC#N,0.152,0.26
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.794,-2.18
1-Butanol,CCCCO,-0.688,0.0
3-Methylbutan-1-ol,CC(C)CCO,-1.027,-0.51
2-Methylpropene,C=C(C)C,-1.5730000000000002,-2.33
"2,3-Dimethyl-1,3-Butadiene",C=C(C)C(=C)C,-2.052,-2.4
1-Iodopropane,CCCI,-2.486,-2.29
1-Propanol,CCCO,-0.3339999999999999,0.62
2-Pentanol,CCCC(C)O,-0.97,-0.29
"Hexachloro-1,3-butadiene",ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.546,-4.92
3-Methyl-2-pentanol,CCC(C)CCO,-1.308,-0.71
1-Iodobutane,CCCCI,-2.841,-2.96
Ethyl octanoate,CCCCCCCC(=O)OCC,-2.962,-3.39
Diethyldisulfide,CCSSCC,-2.364,-2.42
"1,2-Diethoxyethane ",CCOCCOCC,-0.833,-0.77
1-Heptene,C=CCCCCC,-2.718,-3.73
Pebulate,CCCCN(CC)C(=O)SCCC,-3.131,-3.53
Butyl acetate,CCCCOC=O,-1.111,-1.37
Bromodichloromethane,ClC(Cl)Br,-2.176,-1.54
Bromomethane,CBr,-1.109,-0.79
3-Methyl-1-Butene,C=CC(C)C,-1.994,-2.73
Ethane,CC,-1.132,-1.36
Acetamide,CC(N)=O,0.494,1.58
"3,3-Dimethyl-2-butanol",CC(O)C(C)(C)C,-1.2919999999999998,-0.62
Methyl pentanoate,CCCC(=O)OCC,-1.545,-1.36
1-Nonanol,CCCCCCCCCO,-2.46,-3.01
Dibromomethane,BrCBr,-1.883,-1.17
Butylate,CCSC(=O)N(CC(C)C)CC(C)C,-3.4530000000000003,-3.68
nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.029,-2.22
1-Chlorobutane,CCCCCl,-1.94,-2.03
"1,3-diethylthiourea",CCNC(=S)NCC,-1.028,-1.46
Propyl propanoate,CCCCC(=O)OC,-1.545,-1.34
Ethyl butyrate,CCCCCOC(=O)CC,-2.254,-1.28
Bromoethane,CCBr,-1.529,-1.09
3-Hexyne,CCC#CCC,-1.933,-1.99
2-Methyl-1-Butene,C=C(C)CC,-1.994,-2.73
"1,1-Diethoxyethane ",CCOC(C)OCC,-0.899,-0.43
2-Butoxyethanol,CCCCOCCO,-0.775,-0.42
"1,3-Dichloropropane",ClCCCCl,-1.618,-1.62
"2,3-Dimethylbutane",CC(C)C(C)C,-2.584,-3.65
1-Butene,C=CCC,-1.655,-1.94
"1,1,2-Trichlorotrifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,-3.077,-3.04
Propionitrile,CCC#N,-0.2689999999999999,0.28
Glycerol,OCC(O)CO,0.688,1.12
Methyl butyl ether ,CCCCOC,-1.072,-0.99
"N,N-Dimethylacetamide",CC(=O)N(C)C,0.123,1.11
Ethylene,C=C,-0.815,-0.4
"3,3-Dimethyl-1-butanol",CC(C)(C)CCO,-1.365,-0.5
Diisopropylsulfide,CC(C)SC(C)C,-2.162,-2.24
Ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.471,-5.54
"2,2-Dimethylpentanol",CCCC(C)(C)CO,-1.719,-1.52
Methyl propyl ether ,CCCOC,-0.718,-0.39
Isopropyl acetate,CC(=O)OC(C)C,-1.1909999999999998,-0.55
Chloroethylene,C=CCl,-1.188,-1.75
Tetrabromomethane,BrC(Br)(Br)Br,-4.063,-3.14
Nonane,CCCCCCCCC,-3.678,-5.88
2-Methylheptane,CCCCCC(C)C,-3.3080000000000003,-5.08
2-Methyl-3-pentanol,CCC(O)C(C)C,-1.308,-0.7
Heptane,CCCCCCC,-2.97,-4.53
2-Heptanone,CCCCCC(C)=O,-1.554,-1.45
Acephate,COP(=O)(NC(C)=O)SC,-0.416,0.54
DEF,CCCCSP(=O)(SCCCC)SCCCC,-4.074,-5.14
2-Methy-2-Butene,CC=C(C)C,-1.994,-2.56
3-Methyl-3-hexanol,CCCC(C)(O)CC,-1.663,-0.98
Octane,CCCCCCCC,-3.324,-5.24
Propionaldehyde,CCC=O,-0.3939999999999999,0.58
Trichloromethane,ClC(Cl)Cl,-1.812,-1.17
2-Ethylhexanal,CCCCC(C=O)CC,-2.232,-2.13
2-Ethylbutanal,CCC(C=O)CC,-1.523,-1.52
Dipropyl ether,CCCOCCC,-1.426,-1.62
1-Tetradecanol,CCCCCCCCCCCCCCO,-4.231,-5.84
Urea,NC(N)=O,0.8320000000000001,0.96
1-Pentyne,C#CCCC,-1.446,-1.64
1-Octadecanol,CCCCCCCCCCCCCCCCCCO,-5.649,-8.4
Isopentyl formate,CC(C)CCOC=O,-1.449,-1.52
Triethyl phosphate,CCOP(=O)(OCC)OCC,-0.953,0.43
2-Nitropropane,CC(C)[N+](=O)[O-],-0.743,-0.62
Erythritol,OCC(O)C(O)CO,0.675,0.7
Azodrin,CNC(=O)C=C(C)OP(=O)(OC)OC,-0.949,0.6509999999999999
"2,3-Dimethylpentane",CCC(C)C(C)C,-2.938,-4.28
1-Heptyne,C#CCCCCC,-2.155,-3.01
1-Chloro-2-methylpropane,CC(C)CCl,-1.924,-2.0
methyl laurate,CCCCCCCCCCCC(=O)OC,-4.025,-4.69
Di-n-propylsulfide,CCCSCCC,-2.307,-2.58
1-Bromopentane,CCCCCBr,-2.658,-3.08
trans-2-Heptene ,CC=CCCCC,-2.784,-3.82
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.232,-2.0
Diethyl ether ,CCOCC,-0.718,-0.09
Dimethoxymethane,COCOC,0.092,0.48
Butan-2-ol,CCC(C)O,-0.616,0.47
allicin,C=CCS[S+]([O-])CC=C,-2.045,-0.83
Isobutyl formate,CC(C)COC=O,-1.095,-1.01
Hexane ,CCCCCC,-2.615,-3.84
Naled,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-3.548,-2.28
"2,4-Dimethyl-2-pentanol ",CC(C)CC(C)(C)O,-1.6469999999999998,-0.92
"2,2-Dimethylbutane",CCC(C)(C)C,-2.584,-3.55
"1,4-Pentadiene ",C=CCC=C,-1.758,-2.09
3-Octanol,CCCCCC(O)CC,-2.033,-1.98
2-Methylpentanol,CCCC(C)CO,-1.381,-1.11
2-Methyl-2-hexanol,CCCCC(C)(C)O,-1.663,-1.08
Methoprene,COC(C)(C)CCCC(C)C=CC=C(C)CC(=O)OC(C)C,-4.795,-5.19
Ethyl propionate,CCOC(=O)CC,-1.1909999999999998,-0.66
2-cyanoguanidine,N#CN=C(N)N,0.361,-0.31
Chloropicrin,O=[N+]([O-])C(Cl)(Cl)Cl,-1.866,-2.0
Ethyl heptanoate,CCCCCCC(=O)OCC,-2.608,-2.74
Methyl acetate,COC(C)=O,-0.416,0.46
1-Hexene-3-ol,C=CC(O)CCC,-1.199,-0.59
Dibutyl ether ,CCCCOCCCC,-2.135,-1.85
1-Dodecanol,CCCCCCCCCCCCO,-3.523,-4.8
2-Methyl-2-pentanol,CCCC(C)(C)O,-1.308,-0.49
2-Methyl-2-heptanol,CCCCCC(C)(C)O,-2.017,-1.72
Methane,C,-0.636,-0.9
3-Methyl-2-pentanone,CCC(C)C(C)=O,-1.266,-0.67
Nitromethane,C[N+](=O)[O-],-0.042,0.26
Triallate,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.578,-4.88
"1,5-Hexadiene ",C=CCCC=C,-2.112,-2.68
1-Hexene,C=CCCCC,-2.364,-3.23
2-Nonanone,CCCCCCCC(C)=O,-2.263,-2.58
Ethyne,C#C,-0.252,0.29
Mecarbam,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-3.738,-2.518
"1,2-Dichloropropane",CC(Cl)CCl,-1.794,-1.6
2-Ethyl-2-hexanal,CCCC=C(C=O)CC,-2.081,-2.46
Disulfoton,CCOP(=S)(OCC)SCCSCC,-3.975,-4.23
1-Pentadecanol,CCCCCCCCCCCCCCCO,-4.586,-6.35
2-Iodopropane,CC(C)I,-2.486,-2.09
3-Methyl-2-butanone,CC(=O)C(C)C,-0.912,-0.12
Hexadecane,CCCCCCCCCCCCCCCC,-6.159,-8.4
2-Octanone,CCCCCCC(C)=O,-1.909,-2.05
Methyl nonanoate,CCCCCCCCC(=O)OC,-2.962,-3.38
Ethanol,CCO,0.02,1.1
1-Bromooctane,CCCCCCCCBr,-3.721,-5.06
3-Pentanol,CCC(O)CC,-0.97,-0.24
4-Methylpentanol,CC(C)CCCO,-1.381,-1.14
2-Methylbutan-2-ol,CCC(C)(C)O,-0.954,0.15
Ethyl formate,CCOC=O,-0.402,0.15
Butanethiol ,CCCCS,-1.676,-2.18
Tetrachloroethylene,ClC(Cl)=C(Cl)Cl,-3.063,-2.54
3-Pentanone,CCC(=O)CC,-0.912,-0.28
Acrylonitrile,C=CC#N,-0.354,0.15
2-Hexanone,CCCCC(C)=O,-1.2,-0.8
3-Methylheptane,CCCCC(C)CC,-3.3080000000000003,-5.16
"1,2-Dibromoethane",BrCCBr,-2.102,-1.68
Methyl acrylate,C=CC(=O)OC,-0.878,-0.22
3-Ethyl-3-pentanol,CCC(O)(CC)CC,-1.663,-0.85
"2,4-Dimethyl-3-pentanone",CC(C)C(=O)C(C)C,-1.7519999999999998,-1.3
Dimethyldisulfide,CSSC,-1.524,-1.44
3-Heptanol ,CCCCC(O)CC,-1.6780000000000002,-1.47
2-Ethyl-1-hexanol,CCCCC(CC)CO,-2.089,-2.11
Diallate,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-3.827,-4.2860000000000005
Thiram,CN(C)C(=S)SSC(=S)N(C)C,-2.444,-3.9
1-Decanol,CCCCCCCCCCO,-2.814,-3.63
"3,3-Dimethylpentane",CCC(C)(C)CC,-2.938,-4.23
vamidothion,CNC(=O)C(C)SCCSP(=O)(OC)OC,-1.446,1.144
Butyraldehyde,CCCC=O,-0.7490000000000001,-0.01
Butane,CCCC,-1.907,-2.57
Pentachloroethane,ClC(Cl)C(Cl)(Cl)Cl,-3.382,-2.6
2-Methylpropan-1-ol,CC(C)CO,-0.672,0.1
Diiodomethane,ICI,-2.958,-2.34
4-Heptanol,CCCC(O)CCC,-1.6780000000000002,-1.4
Pentyl acetate,CCCCCOC(C)=O,-1.833,-1.89
"1,2-Dichlorotetrafluoroethane",FC(F)(Cl)C(F)(F)Cl,-2.697,-2.74
tetramethylurea,CN(C)C(=O)N(C)C,-0.495,0.94
Sulfallate,C=C(Cl)CSC(=S)N(CC)CC,-3.254,-3.39
Chloroethane,CCCl,-1.165,-1.06
thiofanox,CNC(=O)ON=C(CSC)C(C)(C)C,-2.7,-1.62
Eicosane,CCCCCCCCCCCCCCCCCCCC,-7.576,-8.172
2-Ethyl-1-butanol,CCC(CC)CO,-1.381,-1.17
"cis 1,2-Dichloroethylene",ClC=CCl,-1.561,-1.3
4-Methyl-2-pentanol,CC(C)CC(C)O,-1.308,-0.8
"2,2-Dimethylpropanol",CC(C)(C)CO,-1.011,-0.4
Propylene,C=CC,-1.235,-1.08
2-Octanol,CCCCCCC(C)O,-2.033,-2.09
Isobutyl acetate,CC(=O)OCC(C)C,-1.463,-1.21
"2,2,3-Trimethylbutane",CC(C)C(C)(C)C,-2.922,-4.36
halothane,FC(F)(F)C(Cl)Br,-2.608,-1.71
Oxamyl,CNC(=O)ON=C(SC)C(=O)N(C)C,-0.908,0.106
Thiometon,CCSCCSP(=S)(OC)OC,-3.323,-3.091
2-Methylbutane,CCC(C)C,-2.245,-3.18
4-hydroxypyridine,O=c1cc[nH]cc1,-1.655,1.02
"1,7-phenantroline",c1cnc2c(c1)ccc1ncccc12,-2.994,-2.68
piperonal,O=Cc1ccc2c(c1)OCO2,-2.033,-1.63
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.76,-3.658
Amitrole,Nc1nc[nH]n1,-0.674,0.522
2-pyrrolidone,O=C1CCCN1,0.243,1.07
Trimazosin,COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,-3.958,-3.638
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-6.84,-7.337000000000001
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-7.44,-8.402000000000001
Cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-6.775,-8.017000000000001
Permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-7.129,-6.291
Cyhalothrin,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-6.905,-8.176
Fenpropathrin,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.15,-6.025
phenothrin,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-6.763,-5.24
Propiconazole,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-4.603,-3.4930000000000003
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.989,-3.64
Pyrimidine,c1cncnc1,-0.884,1.1
Pirimicarb,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-2.34,-1.95
bupirimate,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-3.4930000000000003,-4.16
Deoxycorticosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.939,-3.45
Fludrocortisone,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.172,-3.43
17a-Methyltestosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-4.073,-3.999
Hydrocortisone ,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.159,-3.09
aldosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,-3.0660000000000003,-3.85
Testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-3.659,-4.02
Corticosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.454,-3.24
methylthiouracil,Cc1cc(=O)[nH]c(=S)[nH]1,-0.547,-2.436
thiouracil,O=c1cc[nH]c(=S)[nH]1,-0.992,-2.273
borneol,CC1(C)C2CCC1(C)C(O)C2,-2.423,-2.32
Methyldymron,CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1,-3.863,-3.35
Cyclopropyl-5-spirobarbituric acid,O=C1NC(=O)C2(CC2)C(=O)N1,-0.088,-1.886
Oxycarboxin,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.169,-2.281
Stanolone,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,-3.882,-4.743
captafol,Oc1c2c(c(O)n1SC(Cl)(Cl)C(Cl)Cl)CC=CC2,-4.365,-5.4
Benzo(a)pyrene,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-6.007000000000001,-8.699
Spironolactone,CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-3.842,-4.173
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.877999999999999,-6.876
Flumetralin,CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.584,-6.78
allantoin,NC(=O)Nc1[nH]c(=O)[nH]c1O,0.652,-1.6
hydantoin,O=c1[nH]cc(O)[nH]1,0.603,-0.4
mercaptobenzothiazole,S=c1[nH]c2ccccc2s1,-3.411,-3.18
Isocarboxazid,Cc1cc(C(=O)NNCc2ccccc2)no1,-2.251,-2.461
Coumatetralyl,O=c1c(C2CCCc3ccccc32)c(O)oc2ccccc12,-5.194,-2.84
Acridine,c1ccc2nc3ccccc3cc2c1,-3.846,-3.67
1-aminoacridine,Nc1cccc2nc3ccccc3cc12,-3.542,-4.22
RTI 16,CCN1c2ncccc2C(=S)N(C)c2cccnc21,-3.411,-4.634
Bibenzyl ,c1ccc(CCc2ccccc2)cc1,-4.301,-4.62
Hexestrol,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.854,-4.43
hydrobenzoin,OC(c1ccccc1)C(O)c1ccccc1,-2.645,-1.93
alloxan,O=C1NC(=O)C(=O)C(=O)N1,0.436,-1.25
Methoxychlor,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-5.537999999999999,-6.89
DDD,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-6.007999999999999,-7.2
benzhydrol,OC(c1ccccc1)c1ccccc1,-3.033,-2.55
Dicofol,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-6.268,-5.666
"O,P'-DDD",Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.007999999999999,-6.51
chloropropylate,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1,-5.093,-4.53
diphenamid,CN(C)C(=O)C(c1ccccc1)c1ccccc1,-3.147,-2.98
DDT,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-6.638,-7.15
Diphenylmethane,c1ccc(Cc2ccccc2)cc1,-4.09,-4.08
bromopropylate,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-5.832999999999999,-4.93
Dichlorophen,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-4.924,-3.953
chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-1.7519999999999998,-3.05
Santonin,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-2.43,-3.09
nitrofurantoin,O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,-1.243,-3.38
Cortisone,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-2.893,-3.11
Amigdalin,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.974,-0.77
TEFLUBENZURON,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-5.462000000000001,-7.28
difluron,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-4.692,-6.02
Flutriafol,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.569,-3.37
triamcinolone acetonide,CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-3.928,-4.31
Niridazole,O=C1NCCN1c1ncc([N+](=O)[O-])s1,-1.948,-3.22
pregnenolone,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.342,-4.65
styrene oxide,c1ccc(C2CO2)cc1,-1.826,-1.6
diethylstilbestrol,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-5.074,-4.07
nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.397,-3.19
parabanic acid,O=C1NC(=O)C(=O)N1,1.091,-0.4
Propylcyclopentane,CCCC1CCCC1,-3.16,-4.74
Cyclopentane ,C1CCCC1,-2.0380000000000003,-2.64
Pentylcyclopentane,CCCCCC1CCCC1,-3.869,-6.08
Methylcyclopentane,CC1CCCC1,-2.452,-3.3
Cyclobutyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCC2)C(=O)N1,-0.527,-1.655
Succinimide,Oc1ccc(O)[nH]1,0.282,0.3
Phosalone,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,-5.024,-5.233
Chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1,-2.679,-2.8310000000000004
Benzoxazole,c1ccc2ocnc2c1,-2.214,-1.16
Oxadiazon,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.265,-5.696000000000001
Dimefuron,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-3.831,-4.328
Fluridone,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,-4.249,-4.445
Equilin,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-3.555,-5.282
Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)NC1=O,-3.517,-3.952
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)NC1=O,-3.75,-3.604
Decalin,C1CCC2CCCCC2C1,-3.715,-5.19
Abate,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.678,-6.237
Procymidone,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,-3.464,-4.8
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-6.545,-7.32
"2,2',3,4,6-PCB",Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-6.627000000000001,-7.43
3-Chlorobiphenyl,Clc1cccc(-c2ccccc2)c1,-4.685,-4.88
